Wallet Address,Boosted Score,Unboosted Score,Boost Percentage
0x164ea0fc6f3a6e1afc61977a1aea57d4081e57bf,6575,4975,32.16
0xb7e66155379a4fc882d066e3e512db8bf43e1979,5864,4442,32.01
0x4a1131863118ddc6cff098e074af9481e58ce93d,2242,1699,31.96
0xf7174bd56541305b18222e88c1f3ab82776993a7,6536,4957,31.85
0x9e1e3857fb2484379858b9daf230379015a7a100,7047,5346,31.82
0xc368fb970bb9426f3def1a78e0f98458c797dd72,2654,2015,31.71
0xa750da0b3f05431ac22df2b01d2885f7b0cc24cf,23347,17729,31.69
0x67a0f1a33387d614aba663d303f860d1c5275b39,8737,6638,31.62
0x9602e86e8c58cd89b6a249a703ccc57208ddeea1,487,370,31.62
0xd6988db071877f91ee3edcf73b94fbd9e35fdb81,941,715,31.61
0x04dc9e10ae8bfff26a553edeacfa51acc57291ca,921,700,31.57
0xb6b37f580eec1e9c5a599b24edc743c2ca325a37,926,704,31.53
0xcd2e60153e8aef537fbd78a4d351aac3f16b63bd,4021,3058,31.49
0x3988dff5d29499038c5d5124a770c6557c2c146a,1065,810,31.48
0xaf0efc6291307f9c3aa872cfabc78e6e4317a906,120997,92041,31.46
0xd62226180271500f030834ad54c80769dd21b473,2457,1869,31.46
0x57481ab7d4bdb94dade9d97646f883984d198bae,3486,2652,31.45
0x84b1172dd411adc84a16dcd161f21cc1b0168ff7,372,283,31.45
0x829bacf4cc05418cef0e194e23fa9b4548f9e541,3141,2392,31.31
0xddc4980193cf5f607e7e9a02970ff4e607881b1b,3763,2866,31.3
0x28d8c3f9a65267475a273b861d475a42a8c3f8c3,785,598,31.27
0x2aacad555d18cb50a221013d80204c7fb93c7b97,6072,4626,31.26
0x91bfc391fdd6e07f54283bbd5f1417c58e872bad,13326,10153,31.25
0x62ce5c4e0c7b09da57c8dde98b405401d2422c02,4910,3743,31.18
0x48a5203b29c5bd1f6fe7deb45b6d92b8e5713193,20372,15535,31.14
